19405	call:this.renderMarkdownInline		this.renderMarkdownInline( cleanMessage )
19416	ident:local	decl:undefined-init ; assign:member ; assign:call:timestamp.toLocaleTimeString	timeStr
19417	call:this.renderMarkdownInline		this.renderMarkdownInline( cleanMessage )
19739	ident:local	decl:undefined-init ; assign:member ; assign:call:timestamp.toLocaleTimeString	time
19740	call:this.renderMarkdownInline		this.renderMarkdownInline( displayMessage )
20063	member		currentOption.label
20067	call:this.WINDOW_OPTIONS.map( opt => ` <div class="dropdown-item 		this.WINDOW_OPTIONS.map( opt => ` <div class="dropdown-item ${opt.hours === this.historyWi
20069	call:JSON.stringify( opt.hours ).replace		JSON.stringify( opt.hours ).replace( /"/g, '&quot;' )
20070	member		opt.label
20191	ident:local	decl:member	prefix
20191	ident:local	decl:member	remainingMessage
20228	ident:local	decl:call:new Date( timestamp ).toLocaleTimeString	time
20229	call:type.toUpperCase		type.toUpperCase()
20230	ident:local	destructure:ident	priority
20231	ident:local	decl:cond(binary(call:processedMessage.substring+literal)|ident)	displayMessage
20231	ident:local	destructure:ident	message
20232	ident:local	decl:logical(member||template)	notificationId
20246	ident:local	decl:logical(member||template)	notificationId
20251	ident:local	decl:logical(member||template)	notificationId
21755	ident:param	method renderMinimizedNotificationDOM	queuePosition
21756	ident:local	decl:logical(member||literal)	typeIcon
21757	ident:local	decl:cond(binary(call:notification.message.substring+literal)|member)	truncatedMessage
21758	ident:local	decl:call:this._renderPersonaBadgeHTML	personaBadge
21759	ident:local	decl:call:this.formatTimeoutDisplay	timeoutDisplay
22533	ident:local	decl:binary(member+cond-safe-branches)	totalCount
22542	member		this.ttsQueue.length
22549	ident:local	decl:binary(member+cond-safe-branches)	totalCount
23085	member		notification.id
23088	member		notification.id
23091	member		notification.id
23095	member		notification.id
23098	member		notification.id
23100	member		notification.id
23103	member		notification.id
23117	member		notification.id
23120	logical(member||literal)		notification.response_default || ''
23120	member		notification.id
23121	member		notification.id
23143	ident:local	decl:call:this.getProjectFromSenderId	project
23162	member		notification.id
23165	logical(member||member)		notification.title || notification.message
23168	ident:local	decl:call:this._renderPersonaBadgeHTML	personaBadge
23169	member		notification.id
23172	member		notification.id
23177	ident:local	decl:call:this.buildPredictionHintSection	predictionHintSection
23179	member		notification.id
23181	ident:local	decl:literal ; assign:template ; assign:call:this.renderMultipleChoiceUI ; assign:call:this.renderOpenEndedBatchUI	responseUI
23386	binary(ident+literal)		i + 1
23386	ident:local	decl:member	total
23400	ident:local	decl:literal ; append:template	questionsHTML
23491	ident:local	decl:literal ; assign:cond-safe-branches ; assign:template	predictedText
23492	ident:local	decl:call:this.formatStrategyLabel	strategy
23493	ident:local	decl:call:this._buildPredictionVoteControls	voteControls
23517	ident:local	decl:member	id
23520	ident:local	decl:member	id
23758	ident:local	decl:call:this.getProjectFromSenderId	project
23778	ident:local	decl:template	questionId
23778	member		opt.label
23779	ident:param	fn@23765	idx
23781	member		opt.label
23782	logical(member||literal)		opt.description || ''
23810	ident:local	decl:template	questionId
23816	member		notification.id
23818	member		notification.id
23819	ident:local	decl:literal ; assign:call:customAnswers.join ; assign:ident	otherText
23833	member		notification.id
23841	member		notification.id
23847	member		notification.id
23856	ident:param	method renderMultipleChoiceUI	questionIndex
23856	member		notification.id
23859	binary(ident+literal)		questionIndex + 1
23859	ident:local	decl:member	totalQuestions
23861	member		question.question
23864	ident:local	decl:call:question.options.map( ( opt, idx ) => { // Check if this opt ; append:template	optionsHTML
23866	ident:local	decl:literal ; append:template ; append:literal	actionsHTML
24562	ident:param	method showConfirmation	response
24682	ident:local	decl:logical(member||literal) ; assign:call:input.value.trim	defaultValue
24762	ident:local	decl:member	response
